,company_name,company_sector,breach_date,breach_method,records_lost
0,Twitch,gaming,Oct 2021,hacked,"10,000,000"
1,Syniverse,telecoms,Sep 2021,hacked,"500,000,000"
2,Pandora Papers,government,Oct 2021,hacked,"11,900,000"
3,Neiman Marcus,retail,Sep 2021,hacked,"4,600,000"
4,Epik,retail,Sep 2021,hacked,"15,000,000"
5,Thailand visitors,government,Sep 2021,poor security ,"100,000,000"
6,T-Mobile ,telecoms,Aug 2021,hacked,"40,000,000"
7,Contact tracing data,telecoms,Aug 2021,hacked,"38,000,000"
8,Estonian gov,government,Jul 2021,hacked,"280,000"
9,Guntrader,retail,Jul 2021,hacked,"111,000"
10,Linkedin,web ,Jul 2021,hacked,"700,000,000"
11,VW,transport,Jun 2021,hacked,"3,300,000"
12,MacDonalds,retail,Jun 2021,hacked,"10,000,000"
13,Air India,transport,May 2021,hacked,"4,500,000"
14,Omiai dating app,app,May 2021,hacked,"1,710,000"
15,Amazon Reviews,web,May 2021,poor security ,"13,124,962"
16,Peloton,tech,May 2021,poor security ,"3,000,000"
17,Digital Ocean,tech,Apr 2021,poor security ,"10,000,000"
18,Park Mobile,transport,Apr 2021,hacked,"21,000,000"
19,Ubiquiti,tech,Feb 2021,hacked,"16,000,000"
20,Meet Mindful,tech,Feb 2021,hacked,"2,240,000"
21,Experian Brazil,finance,Feb 2021,hacked,"220,000,000"
22,Gab,tech, Mar 2021,hacked,"4,000,000"
23,Star Alliance,transport, Mar 2021,hacked,"16,000,000"
24,Facebook,tech, Mar 2021,hacked,"533,000,000"
25,Ledger,finance, Dec 2020,hacked,"270,000"
26,T-mobile,telecoms, Dec 2020,hacked,"200,000"
27,The Hospital Group,health , Dec 2020,hacked,"1,000,000"
28,SolarWinds,app, Dec 2020,hacked,"50,000,000"
29,Ho Mobile,telecoms, Dec 2020,hacked,"2,500,000"
30,Spotify,app, Dec 2020,oops!,"500,000"
31,Drizly,app, Sep 2020,hacked,"2,400,000"
32,GEDmatch,"misc, health", Sep 2020,hacked,"1,400,000"
33,Call of Duty / Activision,gaming, Sep 2020,hacked,"500,000"
34,Zhenhua,misc, Sep 2020,oops!,"2,400,000"
35,Cense AI,"tech, health", Aug 2020,poor security,"2,500,000"
36,Nintendo,gaming, Apr 2020,hacked,"300,000"
37,Pakistani mobile operators,telecoms, Apr 2020,hacked,"115,000,000"
38,US Marshals Service,government, May 2020,hacked,"387,000"
39,db8151dd,web, May 2020,hacked,"22,000,000"
40,EasyJet,transport, May 2020,hacked,"9,000,000"
41,Microsoft,web, Jan 2020,poor security,"250,000,000"
42,Dutch Government,government, Mar 2020,lost device,"6,900,000"
43,Virgin Media,retail, Mar 2020,poor security,"900,000"
44,Boots Advantage Card,retail, Mar 2020,hacked,"150,000"
45,Tesco Clubcard,retail, Mar 2020,hacked,"600,000"
46,Marriott Hotels,retail, Mar 2020,inside job,"5,200,000"
47,Zoom,app, Apr 2020,hacked,"500,000"
48,Israeli government,government, Feb 2020,poor security,"6,500,000"
49,MGM Hotels,retail, Feb 2020,hacked,"10,600,000"
50,Buchbinder Car Rentals,transport, Jan 2020,poor security,"5,000,000"
51,Wawa,retail, Dec 2019,hacked,"30,000,000"
52,Desjardins Group,finance, Jun 2019,inside job,"4,200,000"
53,US Customs and Border Protection,government, Jun 2019,hacked,"100,000"
54,Quest Diagnostics,health , Jun 2019,poor security,"20,000,000"
55,Australian National University,academic, Jun 2019,hacked,"200,000"
56,Canva,web, May 2019,hacked,"139,000,000"
57,Chtrbox,misc, May 2019,poor security,"49,000,000"
58,WiFi Finder,app, Apr 2019,poor security,"2,000,000"
59,Toyota,transport, Apr 2019,hacked,"3,100,000"
60,Unknown,web, Mar 2019,poor security,"1,800,000"
61,Vårdguiden,health , Feb 2019,poor security,"2,700,000"
62,Dubsmash,web , Feb 2019,hacked,"162,000,000"
63,ShareThis,web, Feb 2019,hacked,"41,000,000"
64,HauteLook,retail, Feb 2019,hacked,"28,000,000"
65,Animoto,web, Feb 2019,hacked,"25,000,000"
66,EyeEm,web, Feb 2019,hacked,"22,000,000"
67,8fit,web, Feb 2019,hacked,"20,000,000"
68,Whitepages,web, Feb 2019,hacked,"18,000,000"
69,Fotolog,web, Feb 2019,hacked,"16,000,000"
70,Armor Games,gaming, Feb 2019,hacked,"11,000,000"
71,BookMate,web, Feb 2019,hacked,"8,000,000"
72,CoffeeMeetsBagel,web, Feb 2019,hacked,"6,000,000"
73,Artsy,web, Feb 2019,hacked,"1,000,000"
