,date,month,year,adjclose
0,2020-11-01,11,2020,11.117792129516602
1,2020-12-01,12,2020,11.561119079589844
2,2021-01-01,1,2021,13.191716194152832
3,2021-02-01,2,2021,14.4863920211792
4,2021-03-01,3,2021,15.914037704467773
5,2021-04-01,4,2021,17.07925796508789
6,2021-05-01,5,2021,17.67717170715332
7,2021-06-01,6,2021,19.7100830078125
8,2021-07-01,7,2021,19.119407653808594
9,2021-08-01,8,2021,18.759199142456055
10,2021-09-01,9,2021,21.992340087890625
11,2021-10-01,10,2021,21.3700008392334
12,2021-11-01,11,2021,25.850000381469727
13,2021-12-01,12,2021,25.790000915527344
14,2022-01-01,1,2022,25.649999618530273
15,2022-02-01,2,2022,25.989999771118164
16,2022-03-01,3,2022,25.989999771118164
17,2022-04-01,4,2022,
