,date,month,year,adjclose
0,2012-05-01,5,2012,6.989999771118164
1,2012-06-01,6,2012,8.180000305175781
2,2012-07-01,7,2012,9.25
3,2012-08-01,8,2012,9.420000076293945
4,2012-09-01,9,2012,9.380000114440918
5,2012-10-01,10,2012,7.079999923706055
6,2012-11-01,11,2012,7.510000228881836
7,2012-12-01,12,2012,8.15999984741211
8,2013-01-01,1,2013,8.100000381469727
9,2013-02-01,2,2013,8.270000457763672
10,2013-03-01,3,2013,8.4399995803833
11,2013-04-01,4,2013,8.510000228881836
12,2013-05-01,5,2013,8.380000114440918
13,2013-06-01,6,2013,8.3100004196167
14,2013-07-01,7,2013,8.229999542236328
15,2013-08-01,8,2013,7.900000095367432
16,2013-09-01,9,2013,7.889999866485596
17,2013-10-01,10,2013,7.510000228881836
18,2013-11-01,11,2013,7.699999809265137
19,2013-12-01,12,2013,7.730000019073486
20,2014-01-01,1,2014,7.46999979019165
21,2014-02-01,2,2014,7.980000019073486
22,2014-03-01,3,2014,7.539999961853027
23,2014-04-01,4,2014,11.40999984741211
24,2014-05-01,5,2014,11.149999618530273
25,2014-06-01,6,2014,11.600000381469727
26,2014-07-01,7,2014,13.569999694824219
27,2014-08-01,8,2014,14.770000457763672
28,2014-09-01,9,2014,18.780000686645508
29,2014-10-01,10,2014,25.31999969482422
30,2014-11-01,11,2014,29.799999237060547
31,2014-12-01,12,2014,28.209999084472656
32,2015-01-01,1,2015,21.5
33,2015-02-01,2,2015,25.6200008392334
34,2015-03-01,3,2015,21.540000915527344
35,2015-04-01,4,2015,25.420000076293945
36,2015-05-01,5,2015,26.639999389648438
37,2015-06-01,6,2015,30.190000534057617
38,2015-07-01,7,2015,20.389999389648438
39,2015-08-01,8,2015,16.719999313354492
40,2015-09-01,9,2015,17.040000915527344
41,2015-10-01,10,2015,19.010000228881836
42,2015-11-01,11,2015,18.68000030517578
43,2015-12-01,12,2015,16.729999542236328
44,2016-01-01,1,2016,15.5
45,2016-02-01,2,2016,13.75
46,2016-03-01,3,2016,15.399999618530273
47,2016-04-01,4,2016,17.329999923706055
48,2016-05-01,5,2016,16.530000686645508
49,2016-06-01,6,2016,16.389999389648438
50,2016-07-01,7,2016,16.709999084472656
51,2016-08-01,8,2016,18.229999542236328
52,2016-09-01,9,2016,17.610000610351562
53,2016-10-01,10,2016,13.75
54,2016-11-01,11,2016,14.5
55,2016-12-01,12,2016,13.649999618530273
56,2017-01-01,1,2017,15.199999809265137
57,2017-02-01,2,2017,13.0
58,2017-03-01,3,2017,13.5
59,2017-04-01,4,2017,13.5
60,2017-05-01,5,2017,13.699999809265137
61,2017-06-01,6,2017,14.350000381469727
62,2017-07-01,7,2017,13.5
63,2017-08-01,8,2017,12.550000190734863
64,2017-09-01,9,2017,12.050000190734863
65,2017-10-01,10,2017,13.600000381469727
66,2017-11-01,11,2017,13.399999618530273
67,2017-12-01,12,2017,13.899999618530273
68,2018-01-01,1,2018,14.399999618530273
69,2018-02-01,2,2018,12.050000190734863
70,2018-03-01,3,2018,12.949999809265137
71,2018-04-01,4,2018,15.5
72,2018-05-01,5,2018,21.649999618530273
73,2018-06-01,6,2018,19.649999618530273
74,2018-07-01,7,2018,16.299999237060547
75,2018-08-01,8,2018,18.75
76,2018-09-01,9,2018,19.049999237060547
77,2018-10-01,10,2018,14.680000305175781
78,2018-11-01,11,2018,16.969999313354492
79,2018-12-01,12,2018,12.949999809265137
80,2019-01-01,1,2019,14.59000015258789
81,2019-02-01,2,2019,21.299999237060547
82,2019-03-01,3,2019,19.219999313354492
83,2019-04-01,4,2019,18.540000915527344
84,2019-05-01,5,2019,13.949999809265137
85,2019-06-01,6,2019,14.170000076293945
86,2019-07-01,7,2019,14.619999885559082
87,2019-08-01,8,2019,13.5
88,2019-09-01,9,2019,14.5
89,2019-10-01,10,2019,18.709999084472656
90,2019-11-01,11,2019,18.649999618530273
91,2019-12-01,12,2019,17.1200008392334
92,2020-01-01,1,2020,16.6200008392334
93,2020-02-01,2,2020,16.510000228881836
94,2020-03-01,3,2020,18.149999618530273
95,2020-04-01,4,2020,16.799999237060547
96,2020-05-01,5,2020,20.31999969482422
97,2020-06-01,6,2020,27.93000030517578
98,2020-07-01,7,2020,31.139999389648438
99,2020-08-01,8,2020,21.549999237060547
100,2020-09-01,9,2020,20.959999084472656
101,2020-10-01,10,2020,21.93000030517578
102,2020-11-01,11,2020,19.780000686645508
103,2020-12-01,12,2020,20.68000030517578
104,2021-01-01,1,2021,23.31999969482422
105,2021-02-01,2,2021,23.360000610351562
106,2021-03-01,3,2021,24.5
107,2021-04-01,4,2021,26.809999465942383
108,2021-05-01,5,2021,26.149999618530273
109,2021-06-01,6,2021,25.540000915527344
110,2021-07-01,7,2021,24.670000076293945
111,2021-08-01,8,2021,19.270000457763672
112,2021-09-01,9,2021,18.780000686645508
113,2021-10-01,10,2021,20.420000076293945
114,2021-11-01,11,2021,17.09000015258789
115,2021-12-01,12,2021,16.93000030517578
116,2022-01-01,1,2022,16.059999465942383
117,2022-02-01,2,2022,13.779999732971191
118,2022-03-01,3,2022,14.4399995803833
119,2022-04-01,4,2022,14.380000114440918
120,2022-04-12,4,2022,14.770000457763672
