,date,month,year,adjclose
0,2017-12-01,12,2017,14.5
1,2018-01-01,1,2018,16.729999542236328
2,2018-02-01,2,2018,21.020000457763672
3,2018-03-01,3,2018,20.690000534057617
4,2018-04-01,4,2018,24.09000015258789
5,2018-05-01,5,2018,26.09000015258789
6,2018-06-01,6,2018,24.540000915527344
7,2018-07-01,7,2018,24.09000015258789
8,2018-08-01,8,2018,30.93000030517578
9,2018-09-01,9,2018,34.02000045776367
10,2018-10-01,10,2018,26.040000915527344
11,2018-11-01,11,2018,26.030000686645508
12,2018-12-01,12,2018,23.489999771118164
13,2019-01-01,1,2019,28.549999237060547
14,2019-02-01,2,2019,30.84000015258789
15,2019-03-01,3,2019,28.719999313354492
16,2019-04-01,4,2019,28.260000228881836
17,2019-05-01,5,2019,17.56999969482422
18,2019-06-01,6,2019,20.040000915527344
19,2019-07-01,7,2019,21.139999389648438
20,2019-08-01,8,2019,22.530000686645508
21,2019-09-01,9,2019,18.690000534057617
22,2019-10-01,10,2019,19.360000610351562
23,2019-11-01,11,2019,25.030000686645508
24,2019-12-01,12,2019,23.600000381469727
25,2020-01-01,1,2020,25.09000015258789
26,2020-02-01,2,2020,25.31999969482422
27,2020-03-01,3,2020,15.220000267028809
28,2020-04-01,4,2020,18.59000015258789
29,2020-05-01,5,2020,22.829999923706055
30,2020-06-01,6,2020,26.469999313354492
31,2020-07-01,7,2020,31.5
32,2020-08-01,8,2020,39.22999954223633
33,2020-09-01,9,2020,39.56999969482422
34,2020-10-01,10,2020,41.5099983215332
35,2020-11-01,11,2020,46.560001373291016
36,2020-12-01,12,2020,53.2400016784668
37,2021-01-01,1,2021,55.310001373291016
38,2021-02-01,2,2021,56.380001068115234
39,2021-03-01,3,2021,50.63999938964844
40,2021-04-01,4,2021,48.83000183105469
41,2021-05-01,5,2021,46.529998779296875
42,2021-06-01,6,2021,51.06999969482422
43,2021-07-01,7,2021,49.9900016784668
44,2021-08-01,8,2021,46.86000061035156
45,2021-09-01,9,2021,42.880001068115234
46,2021-10-01,10,2021,47.97999954223633
47,2021-11-01,11,2021,52.59000015258789
48,2021-12-01,12,2021,48.34000015258789
49,2022-01-01,1,2022,38.689998626708984
50,2022-02-01,2,2022,41.369998931884766
51,2022-03-01,3,2022,51.18000030517578
52,2022-04-01,4,2022,64.05000305175781
53,2022-04-12,4,2022,64.11000061035156
