,date,month,year,adjclose
0,2016-05-01,5,2016,13.8149995803833
1,2016-06-01,6,2016,14.100000381469727
2,2016-07-01,7,2016,14.8100004196167
3,2016-08-01,8,2016,14.199999809265137
4,2016-09-01,9,2016,12.510000228881836
5,2016-10-01,10,2016,11.789999961853027
6,2016-11-01,11,2016,12.350000381469727
7,2016-12-01,12,2016,10.59000015258789
8,2017-01-01,1,2017,10.34000015258789
9,2017-02-01,2,2017,10.4399995803833
10,2017-03-01,3,2017,9.5
11,2017-04-01,4,2017,8.649999618530273
12,2017-05-01,5,2017,10.880000114440918
13,2017-06-01,6,2017,9.289999961853027
14,2017-07-01,7,2017,10.9399995803833
15,2017-08-01,8,2017,10.229999542236328
16,2017-09-01,9,2017,12.350000381469727
17,2017-10-01,10,2017,10.020000457763672
18,2017-11-01,11,2017,9.819999694824219
19,2017-12-01,12,2017,8.869999885559082
20,2018-01-01,1,2018,9.680000305175781
21,2018-02-01,2,2018,9.869999885559082
22,2018-03-01,3,2018,8.079999923706055
23,2018-04-01,4,2018,10.920000076293945
24,2018-05-01,5,2018,10.390000343322754
25,2018-06-01,6,2018,12.449999809265137
26,2018-07-01,7,2018,12.819999694824219
27,2018-08-01,8,2018,13.3100004196167
28,2018-09-01,9,2018,14.649999618530273
29,2018-10-01,10,2018,16.489999771118164
30,2018-11-01,11,2018,18.010000228881836
31,2018-12-01,12,2018,16.889999389648438
32,2019-01-01,1,2019,22.920000076293945
33,2019-02-01,2,2019,22.190000534057617
34,2019-03-01,3,2019,18.399999618530273
35,2019-04-01,4,2019,19.420000076293945
36,2019-05-01,5,2019,14.609999656677246
37,2019-06-01,6,2019,13.289999961853027
38,2019-07-01,7,2019,11.9399995803833
39,2019-08-01,8,2019,12.069999694824219
40,2019-09-01,9,2019,12.930000305175781
41,2019-10-01,10,2019,12.15999984741211
42,2019-11-01,11,2019,11.34000015258789
43,2019-12-01,12,2019,16.65999984741211
44,2020-01-01,1,2020,15.729999542236328
45,2020-02-01,2,2020,13.890000343322754
46,2020-03-01,3,2020,11.510000228881836
47,2020-04-01,4,2020,11.380000114440918
48,2020-05-01,5,2020,13.460000038146973
49,2020-06-01,6,2020,11.430000305175781
50,2020-07-01,7,2020,11.960000038146973
51,2020-08-01,8,2020,12.930000305175781
52,2020-09-01,9,2020,11.390000343322754
53,2020-10-01,10,2020,10.399999618530273
54,2020-11-01,11,2020,11.289999961853027
55,2020-12-01,12,2020,14.220000267028809
56,2021-01-01,1,2021,13.84000015258789
57,2021-02-01,2,2021,14.430000305175781
58,2021-03-01,3,2021,13.380000114440918
59,2021-04-01,4,2021,13.010000228881836
60,2021-05-01,5,2021,14.079999923706055
61,2021-06-01,6,2021,18.530000686645508
62,2021-07-01,7,2021,20.059999465942383
63,2021-08-01,8,2021,20.459999084472656
64,2021-09-01,9,2021,19.8799991607666
65,2021-10-01,10,2021,18.420000076293945
66,2021-11-01,11,2021,17.760000228881836
67,2021-12-01,12,2021,15.970000267028809
68,2022-01-01,1,2022,14.75
69,2022-02-01,2,2022,15.369999885559082
70,2022-03-01,3,2022,13.25
71,2022-04-01,4,2022,13.039999961853027
72,2022-04-12,4,2022,13.119999885559082
