,date,month,year,adjclose,pct_change
1,2021-08-01,8,2021,63.93000030517578,0.2964915539386652
2,2021-09-01,9,2021,53.56999969482422,-0.16205225341619178
3,2021-10-01,10,2021,66.4000015258789,0.23949975553750624
4,2021-11-01,11,2021,53.970001220703125,-0.18719879547489593
5,2021-12-01,12,2021,50.4900016784668,-0.06448025687465397
6,2022-01-01,1,2022,44.75,-0.11368590785598687
7,2022-02-01,2,2022,41.5,-0.07262569832402233
8,2022-03-01,3,2022,38.7400016784668,-0.06650598365140248
9,2022-04-01,4,2022,37.119998931884766,-0.04181731224556173
10,2022-04-18,4,2022,36.46500015258789,-0.01764544176035132
