,date,month,year,adjclose
0,2014-03-01,3,2014,11.920000076293945
1,2014-04-01,4,2014,8.423333168029785
2,2014-05-01,5,2014,8.16333293914795
3,2014-06-01,6,2014,9.670000076293945
4,2014-07-01,7,2014,7.02666711807251
5,2014-08-01,8,2014,7.933332920074463
6,2014-09-01,9,2014,7.033332824707031
7,2014-10-01,10,2014,6.493332862854004
8,2014-11-01,11,2014,7.933332920074463
9,2014-12-01,12,2014,10.94333267211914
10,2015-01-01,1,2015,10.989999771118164
11,2015-02-01,2,2015,10.296667098999023
12,2015-03-01,3,2015,8.553333282470703
13,2015-04-01,4,2015,9.583333015441895
14,2015-05-01,5,2015,6.7266669273376465
15,2015-06-01,6,2015,7.363333225250244
16,2015-07-01,7,2015,6.929999828338623
17,2015-08-01,8,2015,6.599999904632568
18,2015-09-01,9,2015,5.193333148956299
19,2015-10-01,10,2015,5.323332786560059
20,2015-11-01,11,2015,5.949999809265137
21,2015-12-01,12,2015,6.266666889190674
22,2016-01-01,1,2016,6.2733330726623535
23,2016-02-01,2,2016,6.136666774749756
24,2016-03-01,3,2016,6.0833330154418945
25,2016-04-01,4,2016,6.383333206176758
26,2016-05-01,5,2016,8.106666564941406
27,2016-06-01,6,2016,8.006667137145996
28,2016-07-01,7,2016,8.563332557678223
29,2016-08-01,8,2016,9.850000381469727
30,2016-09-01,9,2016,10.033332824707031
31,2016-10-01,10,2016,9.516667366027832
32,2016-11-01,11,2016,9.733332633972168
33,2016-12-01,12,2016,8.933333396911621
34,2017-01-01,1,2017,9.966667175292969
35,2017-02-01,2,2017,9.133333206176758
36,2017-03-01,3,2017,10.600000381469727
37,2017-04-01,4,2017,10.466667175292969
38,2017-05-01,5,2017,12.116666793823242
39,2017-06-01,6,2017,12.399999618530273
40,2017-07-01,7,2017,12.416666984558105
41,2017-08-01,8,2017,12.933333396911621
42,2017-09-01,9,2017,13.966667175292969
43,2017-10-01,10,2017,14.533332824707031
44,2017-11-01,11,2017,16.766666412353516
45,2017-12-01,12,2017,16.183332443237305
46,2018-01-01,1,2018,18.100000381469727
47,2018-02-01,2,2018,18.71666717529297
48,2018-03-01,3,2018,20.166667938232422
49,2018-04-01,4,2018,21.78333282470703
50,2018-05-01,5,2018,25.883333206176758
51,2018-06-01,6,2018,24.833332061767578
52,2018-07-01,7,2018,19.924999237060547
53,2018-08-01,8,2018,24.633333206176758
54,2018-09-01,9,2018,24.416667938232422
55,2018-10-01,10,2018,20.356666564941406
56,2018-11-01,11,2018,19.303333282470703
57,2018-12-01,12,2018,17.633333206176758
58,2019-01-01,1,2019,19.69333267211914
59,2019-02-01,2,2019,18.98666763305664
60,2019-03-01,3,2019,19.876667022705078
61,2019-04-01,4,2019,23.71666717529297
62,2019-05-01,5,2019,20.84666633605957
63,2019-06-01,6,2019,20.64666748046875
64,2019-07-01,7,2019,23.969999313354492
65,2019-08-01,8,2019,22.773332595825195
66,2019-09-01,9,2019,19.926666259765625
67,2019-10-01,10,2019,23.850000381469727
68,2019-11-01,11,2019,26.036666870117188
69,2019-12-01,12,2019,25.90333366394043
70,2020-01-01,1,2020,27.886667251586914
71,2020-02-01,2,2020,26.739999771118164
72,2020-03-01,3,2020,21.22333335876465
73,2020-04-01,4,2020,22.350000381469727
74,2020-05-01,5,2020,28.1299991607666
75,2020-06-01,6,2020,29.49333381652832
76,2020-07-01,7,2020,36.116668701171875
77,2020-08-01,8,2020,41.176666259765625
78,2020-09-01,9,2020,38.473331451416016
79,2020-10-01,10,2020,38.52333450317383
80,2020-11-01,11,2020,40.21333312988281
81,2020-12-01,12,2020,54.53666687011719
82,2021-01-01,1,2021,58.92333221435547
83,2021-02-01,2,2021,61.18000030517578
84,2021-03-01,3,2021,51.34000015258789
85,2021-04-01,4,2021,52.95000076293945
86,2021-05-01,5,2021,48.29999923706055
87,2021-06-01,6,2021,57.619998931884766
88,2021-07-01,7,2021,61.20000076293945
89,2021-08-01,8,2021,69.01000213623047
90,2021-09-01,9,2021,60.849998474121094
91,2021-10-01,10,2021,64.73999786376953
92,2021-11-01,11,2021,51.810001373291016
93,2021-12-01,12,2021,48.779998779296875
94,2022-01-01,1,2022,37.2599983215332
95,2022-02-01,2,2022,43.599998474121094
96,2022-03-01,3,2022,47.540000915527344
97,2022-04-01,4,2022,47.68000030517578
98,2022-04-12,4,2022,48.04999923706055
