Date,open,high,low,close,volume,dividends,stock_splits
2004-01-02,6.347337343871627,6.358022933649642,6.2351366130568655,6.249028205871582,2289600,0.0,0.0
2004-01-05,6.240482991224319,6.312077375953947,6.210562590887602,6.3045973777771,1998400,0.0,0.0
2004-01-06,6.2832239189417285,6.2960467109289535,6.221246751312468,6.235137939453125,1144000,0.0,0.0
2004-01-07,6.213767444945727,6.219110241564239,6.158201463328843,6.1977386474609375,1404800,0.0,0.0
2004-01-08,6.19773757300721,6.269331932067871,6.177434786324898,6.269331932067871,1586400,0.0,0.0
2004-01-09,6.261850547538317,6.261850547538317,6.141101842687123,6.159267425537109,1797600,0.0,0.0
2004-01-12,6.154995326794166,6.160338530926942,6.101566546500366,6.125075340270996,1227200,0.0,0.0
2004-01-13,6.112250820281509,6.117593615275575,6.04279326247127,6.110113620758057,2148800,0.0,0.0
2004-01-14,6.110116504113804,6.188122489199642,6.038521712994627,6.168888092041016,1751200,0.0,0.0
2004-01-15,6.167817074516511,6.168885470513822,6.063096738726643,6.145376682281494,2545600,0.0,0.0
2004-01-16,6.1603384194449555,6.240481588435327,6.134692426011172,6.239412784576416,1984000,0.0,0.0
2004-01-20,6.272540309894034,6.28215750883214,6.226591515815232,6.253305912017822,1841600,0.0,0.0
2004-01-21,6.254372665344388,6.304595847451884,6.203081087026389,6.272538661956787,2040800,0.0,0.0
2004-01-22,6.261851827346528,6.289635016668414,6.245823440549294,6.284292221069336,1383200,0.0,0.0
2004-01-23,6.284292221069336,6.312075002762048,6.270400626408393,6.284292221069336,2804800,0.0,0.0
2004-01-26,6.285360783119686,6.317417965189888,6.272537991817442,6.307800769805908,1608000,0.0,0.0
2004-01-27,6.308868715492104,6.454195022583007,6.277879933732899,6.454195022583008,3547200,0.0,0.0
2004-01-28,6.57173932208491,6.57173932208491,6.382601409753303,6.390081405639648,4895200,0.0,0.0
2004-01-29,6.614482084473163,6.817511171894054,6.479841351822938,6.509761333465576,12540800,0.0,0.0
2004-01-30,6.534338654944594,6.687144967904999,6.495869875789644,6.6860761642456055,3314400,0.0,0.0
