Date,open,high,low,close,volume,dividends,stock_splits
2007-12-28,147.89999389648438,149.0,147.5,148.5,2490,0,0
2008-01-03,143.6999969482422,144.5,142.89999389648438,143.8000030517578,1200,0,0
2008-01-04,143.0,145.0,143.0,145.0,2700,0,0
2008-01-07,141.6999969482422,142.5,140.6999969482422,140.6999969482422,2369,0,0
2008-01-08,143.0,143.0,140.0,140.0,1168,0,0
2008-01-09,139.6999969482422,139.6999969482422,138.1999969482422,138.39999389648438,1386,0,0
2008-01-10,137.39999389648438,137.89999389648438,136.8000030517578,137.89999389648438,3351,0,0
2008-01-11,136.0,137.0,136.0,137.0,2195,0,0
2008-01-14,137.0,139.10000610351562,137.0,138.1999969482422,2170,0,0
2008-01-15,137.0,137.0,134.5,135.0,670,0,0
2008-01-16,133.5,133.5,128.8000030517578,130.60000610351562,5745,0,0
2008-01-17,133.1999969482422,133.6999969482422,131.8000030517578,133.0,2925,0,0
2008-01-18,128.5,130.0,126.0,128.0,4060,0,0
2008-01-22,107.0,123.9000015258789,105.0,123.9000015258789,6670,0,0
2008-01-23,119.4000015258789,119.4000015258789,114.4000015258789,117.5,3100,0,0
2008-01-24,121.30000305175781,124.80000305175781,121.30000305175781,124.5,3121,0,0
2008-01-25,127.0,128.6999969482422,124.19999694824219,124.19999694824219,4697,0,0
2008-01-28,120.0,121.0999984741211,120.0,121.0999984741211,3915,0,0
2008-01-29,123.80000305175781,125.30000305175781,123.19999694824219,124.5999984741211,1333,0,0
2008-01-30,124.30000305175781,124.30000305175781,124.30000305175781,124.30000305175781,79,0,0
2008-01-31,119.69999694824219,119.69999694824219,119.5,119.5,2350,0,0
2008-02-01,121.19999694824219,121.69999694824219,121.19999694824219,121.69999694824219,1650,0,0
2008-02-04,125.80000305175781,126.9000015258789,124.30000305175781,124.30000305175781,1767,0,0
2008-02-05,124.0,124.0,119.4000015258789,119.4000015258789,1400,0,0
2008-02-06,116.5999984741211,120.30000305175781,116.30000305175781,120.30000305175781,11860,0,0
2008-02-07,124.0,124.0,119.0,120.0,16869,0,0
2008-02-08,122.5,123.4000015258789,120.0,122.80000305175781,7400,0,0
2008-02-11,120.30000305175781,122.19999694824219,119.4000015258789,119.69999694824219,3546,0,0
2008-02-12,121.9000015258789,122.9000015258789,118.0,122.5999984741211,6898,0,0
2008-02-13,123.69999694824219,125.69999694824219,122.5999984741211,122.5999984741211,6230,0,0
2008-02-14,125.5999984741211,125.69999694824219,122.0,123.0,9156,0,0
2008-02-15,121.80000305175781,121.80000305175781,118.9000015258789,119.5,1363,0,0
2008-02-19,121.0,124.19999694824219,120.0,124.19999694824219,2084,0,0
2008-02-20,121.4000015258789,121.9000015258789,120.30000305175781,120.30000305175781,1500,0,0
2008-02-21,122.4000015258789,124.0999984741211,122.4000015258789,123.19999694824219,1850,0,0
2008-02-22,121.69999694824219,121.69999694824219,119.80000305175781,119.80000305175781,2737,0,0
2008-02-25,122.5,124.4000015258789,121.5999984741211,121.5999984741211,1655,0,0
2008-02-26,123.5999984741211,125.0,123.5999984741211,123.80000305175781,1225,0,0
2008-02-27,124.5,124.5,123.4000015258789,123.4000015258789,450,0,0
2008-02-28,121.5999984741211,123.0999984741211,121.5,123.0999984741211,3600,0,0
2008-02-29,120.69999694824219,120.69999694824219,117.19999694824219,117.19999694824219,1112,0,0
2008-03-03,115.69999694824219,115.69999694824219,114.30000305175781,115.0,2500,0,0
2008-03-04,113.5,115.19999694824219,113.0999984741211,113.0999984741211,1950,0,0
2008-03-05,113.9000015258789,116.0,113.9000015258789,115.30000305175781,1015,0,0
2008-03-06,113.5,114.5999984741211,112.80000305175781,113.0999984741211,1565,0,0
2008-03-07,111.0,112.19999694824219,109.30000305175781,111.0,7069,0,0
2008-03-10,111.4000015258789,112.0,108.19999694824219,108.19999694824219,920,0,0
2008-03-11,108.0999984741211,114.30000305175781,108.0999984741211,112.5,685,0,0
2008-03-12,116.80000305175781,118.0,115.4000015258789,115.4000015258789,2870,0,0
2008-03-13,112.5,112.5999984741211,109.9000015258789,112.5999984741211,2246,0,0
2008-03-14,112.0999984741211,113.0,109.0,109.30000305175781,1006,0,0
2008-03-17,105.0,105.0,101.30000305175781,102.69999694824219,4736,0,0
2008-03-18,103.69999694824219,109.5,103.69999694824219,109.5,1734,0,0
2008-03-19,110.5,110.69999694824219,110.30000305175781,110.5,1631,0,0
2008-03-20,108.0999984741211,111.0999984741211,107.9000015258789,111.0999984741211,1098,0,0
2008-03-25,115.0,116.5,115.0,115.69999694824219,2427,0,0
2008-03-26,114.0,114.0,113.0,113.0,290,0,0
2008-03-27,114.30000305175781,115.4000015258789,113.0,115.4000015258789,532,0,0
2008-03-28,114.0999984741211,115.30000305175781,114.0999984741211,114.69999694824219,268,0,0
2008-03-31,111.4000015258789,112.30000305175781,111.0999984741211,112.30000305175781,720,0,0
2008-04-01,113.0999984741211,118.30000305175781,113.0999984741211,118.30000305175781,2244,0,0
2008-04-02,119.0,121.5,119.0,121.4000015258789,2064,0,0
2008-04-03,121.5,121.5,117.69999694824219,119.0,2370,0,0
2008-04-04,119.0,119.30000305175781,118.30000305175781,119.0,2690,0,0
2008-04-07,119.5,122.0,119.5,122.0,6078,0,0
