Date,open,high,low,close,volume,dividends,stock_splits
2004-01-02,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-05,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-06,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-07,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-08,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-09,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-12,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-13,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-14,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-15,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-16,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-20,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-21,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,500,0,0
2004-01-22,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-23,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-26,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-27,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0,0,0
2004-01-28,20.510000228881836,20.510000228881836,20.510000228881836,20.510000228881836,5000,0,0
2004-01-29,20.510000228881836,20.510000228881836,20.510000228881836,20.510000228881836,0,0,0
2004-01-30,20.510000228881836,20.510000228881836,20.510000228881836,20.510000228881836,0,0,0
2004-02-02,20.510000228881836,20.510000228881836,20.510000228881836,20.510000228881836,0,0,0
2004-02-03,20.5,20.5,20.5,20.5,600,0,0
2004-02-04,20.5,20.5,20.5,20.5,500,0,0
2004-02-05,20.5,20.5,20.5,20.5,0,0,0
2004-02-06,20.5,20.5,20.5,20.5,500,0,0
2004-02-09,20.5,20.5,20.5,20.5,200,0,0
2004-02-10,20.5,20.5,20.5,20.5,5000,0,0
