Date,open,high,low,close,volume,dividends,stock_splits
2007-12-28,281.0,284.5,280.75,283.0,120760,0,0
2008-01-03,284.5,284.5,275.0,276.75,374883,0,0
2008-01-04,276.75,277.0,270.75,273.25,430875,0,0
2008-01-07,272.5,273.25,265.0,267.75,530066,0,0
2008-01-08,268.25,270.5,265.75,267.0,375613,0,0
2008-01-09,265.5,267.25,261.75,265.5,478246,0,0
2008-01-10,266.0,269.25,263.75,265.0,287731,0,0
2008-01-11,264.75,269.25,264.75,266.75,398916,0,0
2008-01-14,266.75,271.5,265.5,269.5,328816,0,0
2008-01-15,269.25,270.25,266.5,267.5,460789,0,0
2008-01-16,267.0,269.5,263.0,266.75,503863,0,0
2008-01-17,268.5,269.0,262.0,263.5,440782,0,0
2008-01-18,263.0,268.5,255.75,261.25,1035282,0,0
2008-01-22,233.0,253.0,229.5,250.5,1098695,0,0
2008-01-23,254.5,257.5,240.6999969482422,244.10000610351562,851022,0,0
2008-01-24,250.75,261.75,248.10000610351562,261.5,758590,0,0
2008-01-25,265.5,268.75,259.75,259.75,475118,0,0
2008-01-28,255.5,261.75,254.75,259.25,321657,0,0
2008-01-29,260.5,264.5,260.25,263.0,309071,0,0
2008-01-30,263.0,266.25,260.25,263.0,194593,0,0
2008-01-31,263.0,264.5,254.0,260.5,368898,0,0
2008-02-01,263.0,269.0,262.0,265.5,386245,0,0
2008-02-04,267.0,268.0,263.5,265.0,195223,0,0
2008-02-05,264.75,264.75,254.25,256.25,455888,0,0
2008-02-06,253.25,257.5,252.75,257.0,321019,0,0
2008-02-07,254.5,256.75,250.25,253.75,277956,0,0
2008-02-08,256.5,257.75,251.25,253.75,224320,0,0
2008-02-11,252.5,253.0,247.89999389648438,248.0,338199,0,0
2008-02-12,250.0,254.5,237.1999969482422,254.5,693663,0,0
2008-02-13,253.0,257.75,250.0,255.5,256025,0,0
2008-02-14,260.0,261.75,253.5,254.0,312780,0,0
2008-02-15,253.5,254.75,248.39999389648438,250.5,469030,0,0
2008-02-19,253.75,262.75,252.0,258.0,349593,0,0
2008-02-20,255.5,260.25,255.5,258.25,219007,0,0
2008-02-21,259.75,266.5,258.0,259.5,500285,0,0
2008-02-22,257.5,259.75,255.5,257.0,239851,0,0
2008-02-25,259.0,264.0,259.0,262.25,188669,0,0
2008-02-26,264.0,269.25,263.5,269.0,259408,0,0
2008-02-27,269.75,269.75,264.0,267.25,171179,0,0
2008-02-28,266.0,269.0,265.75,265.75,187888,0,0
2008-02-29,265.25,265.25,261.25,262.75,383868,0,0
2008-03-03,259.0,260.0,254.25,255.75,354623,0,0
2008-03-04,255.0,256.75,247.5,249.60000610351562,386290,0,0
2008-03-05,250.25,254.75,250.25,253.5,287866,0,0
