Date,open,high,low,close,volume,dividends,stock_splits
2012-10-12,48.04999923706055,51.369998931884766,45.04999923706055,48.689998626708984,18132800,0,0
2012-10-15,48.7400016784668,53.0,48.599998474121094,51.939998626708984,3091900,0,0
2012-10-16,53.4900016784668,53.5,51.90999984741211,52.15999984741211,805200,0,0
2012-10-17,52.02000045776367,57.209999084472656,52.0,55.40999984741211,1386400,0,0
2012-10-18,55.08000183105469,55.099998474121094,50.869998931884766,53.41999816894531,1523300,0,0
2012-10-19,52.33000183105469,55.58000183105469,51.529998779296875,55.25,1442200,0,0
2012-10-22,55.58000183105469,56.220001220703125,54.11000061035156,55.400001525878906,478200,0,0
2012-10-23,55.369998931884766,55.5099983215332,54.13999938964844,54.380001068115234,386300,0,0
2012-10-24,54.0099983215332,54.25,51.86000061035156,52.119998931884766,469600,0,0
2012-10-25,53.33000183105469,53.33000183105469,48.599998474121094,49.2400016784668,800600,0,0
2012-10-26,49.650001525878906,50.5,48.20000076293945,50.0,484600,0,0
2012-10-31,51.0,51.029998779296875,48.09000015258789,48.5,400900,0,0
2012-11-01,49.099998474121094,49.65999984741211,48.18000030517578,48.91999816894531,305900,0,0
2012-11-02,50.7400016784668,50.7400016784668,48.29999923706055,48.52000045776367,178900,0,0
2012-11-05,49.97999954223633,50.0,48.7400016784668,49.880001068115234,310200,0,0
2012-11-06,48.529998779296875,50.33000183105469,48.25,48.540000915527344,509900,0,0
2012-11-07,48.43000030517578,48.709999084472656,46.81999969482422,48.06999969482422,284100,0,0
2012-11-08,49.25,49.68000030517578,47.689998626708984,49.04999923706055,278600,0,0
2012-11-09,49.599998474121094,49.599998474121094,47.599998474121094,48.0,120400,0,0
2012-11-12,47.470001220703125,47.68000030517578,46.380001068115234,46.9900016784668,274800,0,0
2012-11-13,46.209999084472656,47.27000045776367,46.0,46.9900016784668,279200,0,0
2012-11-14,46.77000045776367,48.5,46.75,47.380001068115234,267200,0,0
2012-11-15,48.11000061035156,48.619998931884766,47.06999969482422,47.939998626708984,371800,0,0
2012-11-16,47.5,48.95000076293945,47.400001525878906,48.849998474121094,194200,0,0
2012-11-19,49.95000076293945,49.95000076293945,48.91999816894531,49.61000061035156,216200,0,0
2012-11-20,49.86000061035156,51.0,49.619998931884766,50.709999084472656,314900,0,0
2012-11-21,51.04999923706055,52.099998474121094,51.04999923706055,51.95000076293945,441300,0,0
2012-11-23,52.459999084472656,52.459999084472656,50.43000030517578,50.790000915527344,148800,0,0
2012-11-26,50.79999923706055,51.75,50.0,50.81999969482422,341700,0,0
2012-11-27,51.0,53.189998626708984,50.72999954223633,51.849998474121094,852500,0,0
2012-11-28,51.04999923706055,53.220001220703125,49.02000045776367,53.189998626708984,1223800,0,0
2012-11-29,53.13999938964844,53.68000030517578,49.619998931884766,51.70000076293945,1467500,0,0
2012-11-30,51.970001220703125,51.9900016784668,49.599998474121094,50.099998474121094,584200,0,0
2012-12-03,50.099998474121094,51.33000183105469,49.2599983215332,50.099998474121094,621800,0,0
2012-12-04,49.59000015258789,49.88999938964844,48.70000076293945,49.70000076293945,346100,0,0
2012-12-05,49.75,49.900001525878906,48.2400016784668,48.29999923706055,370400,0,0
2012-12-06,48.9900016784668,48.9900016784668,47.7400016784668,48.400001525878906,163500,0,0
2012-12-07,48.849998474121094,51.33000183105469,48.5,51.20000076293945,680600,0,0
2012-12-10,51.880001068115234,52.5,49.779998779296875,51.5,612400,0,0
2012-12-11,51.779998779296875,52.84000015258789,50.400001525878906,51.689998626708984,445500,0,0
2012-12-12,52.0,53.02000045776367,51.34000015258789,51.400001525878906,326600,0,0
2012-12-13,51.599998474121094,51.599998474121094,50.20000076293945,50.27000045776367,156200,0,0
2012-12-14,50.0,50.970001220703125,49.939998626708984,50.47999954223633,158500,0,0
2012-12-17,50.38999938964844,51.04999923706055,50.099998474121094,50.939998626708984,148700,0,0
2012-12-18,51.119998931884766,53.40999984741211,50.02000045776367,53.38999938964844,517200,0,0
2012-12-19,53.5,57.099998474121094,52.650001525878906,55.130001068115234,1444500,0,0
2012-12-20,55.0,56.900001525878906,52.7400016784668,56.15999984741211,799800,0,0
2012-12-21,54.939998626708984,56.2599983215332,54.0,55.95000076293945,1955300,0,0
2012-12-24,55.689998626708984,56.25,54.130001068115234,56.16999816894531,109300,0,0
2012-12-26,55.959999084472656,56.5,54.16999816894531,54.529998779296875,307700,0,0
