Date,open,high,low,close,volume,dividends,stock_splits
2004-01-02,7.102243346086361,7.147385040993914,7.03453187997938,7.13233757019043,1461800,0.0,0
2004-01-05,7.154910699404129,7.297858122942374,7.109768992363946,7.275287628173828,2338400,0.0,0
2004-01-06,7.30538209044804,7.320428848266602,7.2226231286881655,7.320428848266602,2173700,0.0,0
2004-01-07,7.335474956845053,7.5611820220947275,7.290333256793925,7.561182022094727,2577600,0.0,0
2004-01-08,7.561180785669339,7.606321760835907,7.380615449997339,7.508515357971191,2182700,0.0,0
2004-01-09,7.478421808899803,7.636416671218253,7.373092379022789,7.591275691986084,2762100,0.0,0
2004-01-12,7.5536598289715515,7.6740367636957,7.531089333086555,7.583754062652588,1758200,0.0,0
2004-01-13,7.598798417990981,7.621368904607979,7.433279841959715,7.493468284606934,1841600,0.0,0
2004-01-14,7.52356481552124,7.583753276645166,7.485946847943024,7.52356481552124,1630500,0.0,0
2004-01-15,7.531085552709986,7.538609286729341,7.448325913502618,7.455849647521973,1830800,0.0,0
2004-01-16,7.455850647775907,7.538610298086055,7.455850647775907,7.508515357971191,3432700,0.0,0
2004-01-20,7.508518258179593,7.816985055978248,7.50099523774793,7.801937580108643,3123400,0.0,0
2004-01-21,7.86212450752005,8.080307842341078,7.771841822508211,8.057737350463867,2880300,0.0,0
2004-01-22,8.072783629821972,8.095354837871138,7.937359969041764,8.012595176696777,1462200,0.0,0
2004-01-23,8.087830499932492,8.10287797084539,7.9373593783180505,8.035165786743164,1562100,0.0,0
2004-01-26,8.080306764476044,8.10287797084539,7.786888256703608,8.035165786743164,1430400,0.0,0
2004-01-27,8.020118592843579,8.163066701441876,7.907265427110547,7.952406406402588,2910200,0.0,0
2004-01-28,7.907266909873348,8.012596359641336,7.824507236480713,7.824507236480713,2485400,0.0,0
2004-01-29,7.84707906763706,7.899743796680599,6.989392339982043,7.237669944763184,6834800,0.0,0
2004-01-30,7.373093210190771,7.440805404175142,6.959297027233068,7.34299898147583,3142400,0.0,0
2004-02-02,7.297858690872906,7.425759367019911,6.936727876460056,7.102245807647705,4001200,0.0,0
2004-02-03,6.959296541101869,7.2226215620906915,6.959296541101869,7.200050354003906,1461700,0.0,0
2004-02-04,7.147387410882752,7.1549111487791714,6.628261693583175,6.74863862991333,4721600,0.0,0
2004-02-05,6.7335890167601145,6.981866548509158,6.643306343169817,6.7937774658203125,4006900,0.0,0
2004-02-06,6.831396660530193,7.162433907694163,6.741113970622667,7.124815940856934,2122200,0.0,0
2004-02-09,7.124817131463521,7.282812044579503,6.974345956472861,7.267764568328857,2153300,0.0,0
2004-02-10,7.260240440424255,7.32042890718919,7.124816748954709,7.237669944763184,3106000,0.0,0
2004-02-11,7.169956643334897,7.230145100891514,7.042055991651332,7.162433624267578,1998900,0.0,0
2004-02-12,6.959298459389807,7.185005579951729,6.959298459389807,7.0721516609191895,1589400,0.0,0
2004-02-13,7.011961872719714,7.102244560468973,6.846443970597582,6.861490726470947,1713400,0.0,0
2004-02-17,6.914153501847938,7.034531102461936,6.891583015640298,6.944247722625732,1219600,0.0,0
2004-02-18,6.9969127491986,7.057101187331264,6.92167684278138,6.95929479598999,1659400,0.0,0
2004-02-19,6.951771457195886,7.004436881684142,6.914153501847938,6.944247722625732,3904000,0.0,0
2004-02-20,6.974346168977966,6.98939292818392,6.76368580006916,6.831398010253906,4116300,0.0,0
2004-02-23,6.846443420723444,6.846443420723444,6.635783115391394,6.665877342224121,2182800,0.0,0
2004-02-24,6.395030054652105,6.545501206555074,6.334841593890918,6.447694778442383,2932100,0.0,0
2004-02-25,6.447694395795023,6.7636841547899325,6.402553411654611,6.741113662719727,1619600,0.0,0
2004-02-26,6.590640848488977,6.793776660615573,6.568069644639381,6.733588218688965,2189800,0.0,0
2004-02-27,6.018850540399632,6.906631224709505,6.018850540399632,6.816348552703857,3933700,0.0,0
2004-03-01,6.816350672952661,6.8991096353245664,6.726067255361156,6.76368522644043,2523500,0.0,0
2004-03-02,6.741113268057419,6.771207494890145,6.590642133893787,6.665877342224121,1929300,0.0,0
2004-03-03,6.6207354385058546,6.680923883787491,6.5003585479425805,6.537975788116455,1524600,0.0,0
2004-03-04,6.598166423761863,6.658354882478934,6.507883018183232,6.635783672332764,1022200,0.0,0
2004-03-05,6.522931402113734,6.635784598585036,6.522931402113734,6.583119869232178,1314900,0.0,0
2004-03-08,6.507883680252528,6.583119620054388,6.417600982992154,6.44017219543457,1530700,0.0,0
2004-03-09,6.334842406301269,6.402554612717103,6.267130199885435,6.3273186683654785,1534000,0.0,0
2004-03-10,6.402551889165098,6.470264066777162,6.109132692013769,6.139226913452148,2329700,0.0,0
2004-03-11,5.793144746018249,6.244558920514445,5.755527137311249,6.033899307250977,5182900,0.0,0
2004-03-12,5.981232765420227,6.109133400747069,5.943615163633865,6.094086647033691,1857600,0.0,0
2004-03-15,6.109133400747069,6.109133400747069,5.92104431556088,6.094086647033691,2758400,0.0,0
2004-03-16,6.094088532381096,6.3273186683654785,6.086564794445305,6.3273186683654785,2922500,0.0,0
2004-03-17,6.4025518838347155,6.718541567426047,6.4025518838347155,6.620735168457031,2582700,0.0,0
2004-03-18,6.545498722759988,6.590640409952662,6.41007509618752,6.522928237915039,1508900,0.0,0
2004-03-19,6.417599006174481,6.5530233691017274,6.364934295037387,6.470264434814453,1535500,0.0,0
2004-03-22,6.252083226697328,6.319794713283475,6.1693235472535095,6.237035751342773,1380300,0.0,0
2004-03-23,6.229511630774566,6.259605862130846,6.018852011280606,6.161799430847168,2189300,0.0,0
2004-03-24,6.131704130239442,6.267128506478829,6.041421451914168,6.1843695640563965,2109400,0.0,0
2004-03-25,6.229511737823485,6.312271413602716,6.146752779547341,6.229511737823486,1762700,0.0,0
2004-03-26,6.206940174102783,6.304746590219303,6.176845947413312,6.206940174102783,1821700,0.0,0
2004-03-29,6.244558253825846,6.319793463207498,6.176846063130277,6.274652481079102,1727900,0.0,0
2004-03-30,6.199415125721123,6.432645871319902,6.154274153994139,6.402551651000977,1854000,0.0,0
2004-03-31,6.379983611956197,6.485313794065129,6.289700906221325,6.417601585388184,1481200,0.0,0
2004-04-01,6.492836856859995,6.500360594264398,6.334841958882986,6.379982948303223,2936000,0.0,0
2004-04-02,6.4552160658774165,6.575592941720845,6.379980159723886,6.522928237915039,2437700,0.0,0
2004-04-05,6.447695273364112,6.553025446532804,6.37998307043446,6.545501708984375,1743900,0.0,0
2004-04-06,6.470264061390406,6.643305655141316,6.395028149105675,6.620735168457031,1924500,0.0,0
2004-04-07,6.620735168457031,6.643305655141316,6.447692857203285,6.620735168457031,1771700,0.0,0
2004-04-08,6.620736730887586,6.6884489244227066,6.432647623291365,6.462741851806641,1361300,0.0,0
2004-04-12,6.440173646569426,6.440173646569426,6.199419015457192,6.395031929016113,3034600,0.0,0
2004-04-13,6.357412028163961,6.395029995165544,6.19941714075975,6.2972235679626465,2906000,0.0,0
2004-04-14,6.221987486735196,6.35741114461555,6.131704091477702,6.312270164489746,1885500,0.0,0
2004-04-15,6.237034036073911,6.357410935792605,6.018850725958049,6.094086647033691,3722000,0.0,0
2004-04-16,6.056470118001691,6.094088087430887,5.981234179143299,6.048946380615234,2863400,0.0,0
2004-04-19,5.988757939196035,6.056470140924247,5.921045737467823,5.936092853546143,2430800,0.0,0
2004-04-20,5.943615881903078,6.026375189836639,5.830762345403041,5.845809459686279,2106900,0.0,0
2004-04-21,5.85333432663083,5.875904823038871,5.717909913176299,5.7856221199035645,2048100,0.0,0
2004-04-22,5.82323968561398,5.98875833208582,5.793145451483022,5.966187477111816,1992900,0.0,0
2004-04-23,5.958662790291569,5.981233281560778,5.793144180143753,5.921044826507568,1549200,0.0,0
2004-04-26,5.92104438633711,5.958662347324592,5.778096636836729,5.838285446166992,1908300,0.0,0
2004-04-27,5.883426783852916,5.936091498731412,5.6878139607286045,5.7931437492370605,1898800,0.0,0
2004-04-28,6.018850295583466,6.455216884613037,5.9511381149576925,6.455216884613037,5654000,0.0,0
2004-04-29,6.545499790010863,6.891583723241469,6.319792752251269,6.410076141357422,6017300,0.0,0
2004-04-30,6.395027627955703,6.635781379642559,6.357409674878937,6.522928237915039,2151900,0.0,0
2004-05-03,6.447694317840312,6.801302037679004,6.44017129890987,6.771207809448242,3456300,0.0,0
2004-05-04,6.7712065813432005,6.838918761957092,6.695970665660463,6.80882453918457,2618200,0.0,0
2004-05-05,6.771207372020183,6.838919560540857,6.598165750247751,6.688448429107666,2664900,0.0,0
2004-05-06,6.673402054612733,6.718543760217442,6.3950302363090605,6.530454635620117,2391900,0.0,0
2004-05-07,6.304747676258589,6.575595763119407,6.221988717982443,6.229511737823486,1876700,0.0,0
2004-05-10,6.131704171945586,6.199416360525838,5.943615436864339,6.011327266693115,2878300,0.0,0
2004-05-11,5.973709234861682,6.146751203130713,5.928567898628645,6.109133243560791,2065600,0.0,0
2004-05-12,6.221987811168349,6.229510829912961,5.943615668782783,6.10161018371582,1941700,0.0,0
2004-05-13,6.131704209328221,6.244558096817652,6.116657454831404,6.154275417327881,1785100,0.0,0
2004-05-14,6.184370557966739,6.2445590198566725,6.094087865131838,6.191893577575684,1909500,0.0,0
2004-05-17,6.071516557206451,6.19189347907129,5.928569141867718,6.033899307250977,2236100,0.0,0
2004-05-18,6.018851526828928,6.139228442565024,5.905997988950584,5.9285688400268555,1862300,0.0,0
2004-05-19,6.056468311727264,6.124180493004793,5.853332126646116,5.890949726104736,2085700,0.0,0
2004-05-20,5.9661856174782075,6.191892303108622,5.9661856174782075,6.131703853607178,3159300,0.0,0
2004-05-21,6.124181272769771,6.184369726568243,6.018851119870962,6.079039573669434,2600500,0.0,0
2004-05-24,6.154278015407138,6.440173646569426,6.154278015407138,6.395031929016113,3702100,0.0,0
2004-05-25,6.395029831855836,6.741113827926979,6.206940719154194,6.680925369262695,3357800,0.0,0
2004-05-26,6.771209038842382,6.801303272537111,6.665878862159262,6.778732776641846,2154800,0.0,0
2004-05-27,6.771209006919898,6.996916117317854,6.771209006919898,6.914156436920166,3786100,0.0,0
2004-05-28,6.914154648714606,7.13986170073802,6.8539661971754215,7.027008533477783,8759900,0.0,0
2004-06-01,6.951771457195886,7.011959898751475,6.733588177181172,6.944247722625732,2733700,0.0,0
2004-06-02,6.9668200819385975,7.207573888095339,6.944248874484199,7.027008533477783,3466200,0.0,0
2004-06-03,6.996913896715152,7.087196568720799,6.808824817327663,6.816348552703857,2635000,0.0,0
2004-06-04,6.8163475148617465,7.027007050800364,6.8163475148617465,6.974342346191406,1269000,0.0,0
2004-06-07,6.974344515027396,7.177480379905227,6.974344515027396,7.162433624267578,2073300,0.0,0
2004-06-08,7.162433907694163,7.162433907694163,7.049580007182476,7.124815940856934,1367900,0.0,0
2004-06-09,7.147387606940883,7.154911345043683,7.004440170503454,7.0721516609191895,1813500,0.0,0
2004-06-10,7.072148340307064,7.094719544017525,6.906630484780605,6.944247722625732,1681500,0.0,0
2004-06-14,6.869015618891032,7.0194867904570115,6.853968142982863,6.9969162940979,2048300,0.0,0
2004-06-15,7.019485803385168,7.31290508480591,7.019485803385168,7.222622394561768,3220400,0.0,0
2004-06-16,7.252713342901562,7.27528382587404,7.162430693508935,7.1925249099731445,1412000,0.0,0
2004-06-17,7.162434017459253,7.4934705521933545,7.154910280475897,7.470900058746338,4007200,0.0,0
2004-06-18,7.47842140003555,7.523563094302637,7.380615711212158,7.380615711212158,3721500,0.0,0
2004-06-21,7.388140084043911,7.463376015786921,7.327951625650712,7.365569591522217,2235000,0.0,0
2004-06-22,7.335473715942613,7.538610255554704,7.327949980956344,7.500992298126221,1856400,0.0,0
2004-06-23,7.508516870428096,7.553658572190519,7.47089962271292,7.47842264175415,1987600,0.0,0
2004-06-24,7.485947101225242,7.561183038927235,7.4332823753356925,7.433282375335693,1771300,0.0,0
2004-06-25,7.5085181464515856,7.63641881942749,7.470900892343604,7.63641881942749,6539100,0.0,0
2004-06-28,7.643939391224977,7.704127833872195,7.4708977979899345,7.493468284606934,2353300,0.0,0
2004-06-29,7.523563058911443,7.568704752966181,7.403186164769322,7.4182329177856445,1677200,0.0,0
2004-06-30,7.365569893488508,7.470900058746338,7.297857695644406,7.470900058746338,1935700,0.0,0
2004-07-01,7.4257590230089905,7.508517984768865,7.267764119646965,7.320428848266602,2132500,0.0,0
2004-07-02,7.327953506145132,7.455854192428222,7.3204297675394905,7.410713195800781,1838100,0.0,0
2004-07-06,7.433280423271352,7.448327176358455,7.320426546355079,7.380615711212158,1270300,0.0,0
2004-07-07,7.380617596452194,7.523565016055905,7.380617596452194,7.516041278839111,1070600,0.0,0
