Date,open,high,low,close,volume,dividends,stock_splits
2004-01-02,1.4644344849822206,1.4774729017055996,1.453839902530997,1.461989164352417,15301800,0.0,0.0
2004-01-05,1.4640270866847473,1.4738060111118896,1.460767678363236,1.4733989238739014,15093000,0.0,0.0
2004-01-06,1.4664715764495853,1.4664715764495853,1.442023785245022,1.4477285146713257,18496800,0.0,0.0
2004-01-07,1.4481356285868041,1.4481356285868041,1.3951651510355074,1.4342824220657349,27158400,0.0,0.0
2004-01-08,1.432651749209208,1.4399861380108256,1.4297994286089268,1.4375416040420532,16628400,0.0,0.0
2004-01-09,1.4310220856894673,1.435097066961215,1.4179830549211645,1.4236876964569092,11601000,0.0,0.0
2004-01-12,1.4200203698986749,1.420428156516254,1.4037219326839399,1.414723515510559,15908400,0.0,0.0
2004-01-13,1.420020221732183,1.4253171630004182,1.4024991259553472,1.4143155813217163,16264800,0.0,0.0
2004-01-14,1.4220580206872517,1.4228728945267732,1.3955727848136785,1.4037220478057861,17616600,0.0,0.0
2004-01-15,1.3955727371418756,1.4057594466832626,1.3841633671517102,1.386608600616455,19888200,0.0,0.0
2004-01-16,1.3959800160048832,1.3972026766981285,1.3756072923111553,1.3792744874954224,11631600,0.0,0.0
2004-01-20,1.3792747645192591,1.3988327055993623,1.375199781797914,1.3939435482025146,16003800,0.0,0.0
2004-01-21,1.3976101978816002,1.4297994624198638,1.3910906827263414,1.4277626276016235,18151200,0.0,0.0
2004-01-22,1.420835772250091,1.438356876373291,1.4179834506861242,1.438356876373291,12688200,0.0,0.0
2004-01-23,1.4383567854000627,1.4432466415757221,1.4273551991764666,1.4387645721435547,12191400,0.0,0.0
2004-01-26,1.4363189107787142,1.4632119314016936,1.4355040369968126,1.4615821838378906,17987400,0.0,0.0
2004-01-27,1.4628040517123864,1.4701383524469198,1.400054665156206,1.4024991989135742,38656800,0.0,0.0
2004-01-28,1.3874234306583115,1.3874234306583115,1.343824098363254,1.347899079322815,33595200,0.0,0.0
2004-01-29,1.312042236328125,1.3242664818553,1.3051148461901294,1.312042236328125,40482000,0.0,0.0
2004-01-30,1.3014471835459198,1.3014471835459198,1.268035353602934,1.285963535308838,45586800,0.0,0.0
2004-02-02,1.288001814156689,1.290446349039528,1.2651837654191256,1.275370478630066,36016200,0.0,0.0
2004-02-03,1.2696657275014174,1.309597790282551,1.2659985320407072,1.2814821004867554,31975200,0.0,0.0
2004-02-04,1.2753699281247917,1.2855567243715103,1.2529589763820104,1.2631456851959229,27189000,0.0,0.0
2004-02-05,1.269665356944588,1.2782223187212014,1.2570340261768724,1.2672207355499268,27889200,0.0,0.0
2004-02-06,1.2672211464184653,1.2839274636236153,1.2562195596801686,1.279444694519043,34047000,0.0,0.0
2004-02-09,1.2839268764005387,1.3079667868739884,1.2814815558689518,1.3042995929718018,24523200,0.0,0.0
2004-02-10,1.303078098537511,1.3193766262653455,1.2998179908009502,1.312042236328125,25642800,0.0,0.0
2004-02-11,1.3100043625025304,1.3299700800280614,1.3026699744648407,1.3263028860092163,15346800,0.0,0.0
2004-02-12,1.3242660180516397,1.3267105515427455,1.3067448358389835,1.307966709136963,14765400,0.0,0.0
2004-02-13,1.3038927238001627,1.3038927238001627,1.2806668977965308,1.287594199180603,18871200,0.0,0.0
2004-02-17,1.284742297611384,1.2851492974657048,1.2378835431700046,1.2757774591445923,30115800,0.0,0.0
2004-02-18,1.2757774591445923,1.2892243671134338,1.2725180504294,1.2757774591445923,22267800,0.0,0.0
2004-02-19,1.2827044317065914,1.298595870251853,1.2741473821983236,1.2761849164962769,12891600,0.0,0.0
2004-02-20,1.2937061742812557,1.2977804564826365,1.2635537406003396,1.2745553255081177,12695400,0.0,0.0
2004-02-23,1.273329643578775,1.279051881717941,1.2590221185389776,1.2676066160202026,16097400,0.005556,0.0
2004-02-24,1.2471677361915325,1.2700589672799496,1.2434887789401878,1.2635184526443481,18820800,0.0,0.0
2004-02-25,1.2631102585063316,1.2770086011536708,1.2549348557042976,1.2676066160202026,19310400,0.0,0.0
2004-02-26,1.2671970403306148,1.2671970403306148,1.2434884162894877,1.256569266319275,17409600,0.0,0.0
2004-02-27,1.2643355661143267,1.2954028917991975,1.26106570447373,1.2888624668121338,23563800,0.0,0.0
2004-03-01,1.2888630307689142,1.2888630307689142,1.2516642706291663,1.2577956914901733,29219400,0.0,0.0
2004-03-02,1.2569776591373065,1.2647446660180406,1.2479847720966046,1.256569266319275,18721800,0.0,0.0
2004-03-03,1.252890556465709,1.2586135829770775,1.2430794784482888,1.2500290870666504,13467600,0.0,0.0
2004-03-04,1.246758832124706,1.2614747521280927,1.240627498476999,1.2463505268096924,14477400,0.0,0.0
2004-03-05,1.2394006050600903,1.2757818713436375,1.2344958551401497,1.273329496383667,31905000,0.0,0.0
2004-03-08,1.2737379967851912,1.2770085612849265,1.2598395668584996,1.2712855339050293,20815200,0.0,0.0
2004-03-09,1.2651534173937136,1.2700589568282499,1.2508466831492813,1.2590219974517822,21810600,0.0,0.0
2004-03-10,1.2541160536847344,1.2541160536847344,1.228363275527954,1.228363275527954,21547800,0.0,0.0
2004-03-11,1.226321186728776,1.2557528615283557,1.223050620548925,1.2344965934753418,16383600,0.0,0.0
2004-03-12,1.2365401443955755,1.2549349334090463,1.2299996287797756,1.2516642808914185,17492400,0.0,0.0
2004-03-15,1.2483940903570294,1.2483940903570294,1.2242763674696326,1.2410361766815186,29484000,0.0,0.0
2004-03-16,1.243897850429124,1.2475768076119875,1.2128304284166302,1.2324517965316772,29606400,0.0,0.0
2004-03-17,1.2324520149364468,1.2443063761508988,1.2324520149364468,1.2340869903564453,20838600,0.0,0.0
2004-03-18,1.2336791054286709,1.2394013463287465,1.2205982441222225,1.2344965934753418,20889000,0.0,0.0
2004-03-19,1.23899259312462,1.2406274809138356,1.2210061083316281,1.226320743560791,17962200,0.0,0.0
2004-03-22,1.2161008738458945,1.2259111615276197,1.1923921596450362,1.195662021636963,42073200,0.0,0.0
2004-03-23,1.205881434727624,1.21405683547911,1.1940271650372416,1.1985235214233398,31777200,0.0,0.0
2004-03-24,1.186669407904317,1.195662297951225,1.1772675109100128,1.194435715675354,37078200,0.0,0.0
2004-03-25,1.2001589511165522,1.224276769639809,1.1972973931139819,1.222232699394226,22350600,0.0,0.0
2004-03-26,1.21283064588079,1.232042922805058,1.2071084073253748,1.220597743988037,20435400,0.0,0.0
2004-03-29,1.2218241771226734,1.2430797336886898,1.2148746547906242,1.2398098707199097,12225600,0.0,0.0
2004-03-30,1.2336785999346662,1.2344960876463753,1.2124223405913046,1.220597743988037,20721600,0.0,0.0
2004-03-31,1.2210059209074136,1.242671360395209,1.2087432556679156,1.2381749153137207,32571000,0.0,0.0
2004-04-01,1.2340863442842844,1.2394001870439098,1.2283633193175074,1.2332688570022583,15620400,0.0,0.0
2004-04-02,1.2434887388509896,1.2537081226952105,1.2349042424014975,1.242671251296997,17598600,0.0,0.0
2004-04-05,1.2455326996621712,1.2463501872022407,1.2279554018518464,1.2336783409118652,15093000,0.0,0.0
2004-04-06,1.2250938150667166,1.2488025319956177,1.2246847204535252,1.2443060874938965,16410600,0.0,0.0
2004-04-07,1.2365396650128797,1.2426709958338855,1.2250936136244168,1.2320424318313599,11403000,0.0,0.0
2004-04-08,1.2353136033091798,1.2394008665336587,1.2222326593532982,1.2259116172790527,15309000,0.0,0.0
2004-04-12,1.226320463046218,1.2324517952046146,1.2173268718538481,1.2214149236679077,12807000,0.0,0.0
2004-04-13,1.226320812906995,1.2340871224095669,1.21569233126715,1.2169188261032104,18513000,0.0,0.0
2004-04-14,1.216918169106796,1.222641194592319,1.2046548062060967,1.2087428569793701,16318800,0.0,0.0
2004-04-15,1.2087428830154119,1.2161007956584364,1.200567482998654,1.2030198574066162,17071200,0.0,0.0
2004-04-16,1.2062899914030032,1.216918469932075,1.1968887967703337,1.2144660949707031,30004200,0.0,0.0
2004-04-19,1.2140568188590666,1.2169182880248348,1.2038374364897415,1.2111953496932983,10112400,0.0,0.0
2004-04-20,1.2140571988219129,1.2320428928887965,1.2087433533982868,1.2181452512741089,24355800,0.0,0.0
2004-04-21,1.2246853019483974,1.232452314212186,1.2107876566505573,1.2287733554840088,28596600,0.0,0.0
2004-04-22,1.2279555703485951,1.270876478915907,1.2275464756694041,1.2676066160202026,26528400,0.0,0.0
2004-04-23,1.2671976887250018,1.2810961209214506,1.2569783023026808,1.279461145401001,17584200,0.0,0.0
2004-04-26,1.279461251070626,1.3182949051400288,1.2447156501329288,1.2483946084976196,19332000,0.0,0.0
2004-04-27,1.2508468113187101,1.2635185717143274,1.2369483808706752,1.2414448261260986,19238400,0.0,0.0
2004-04-28,1.2569777435507707,1.2986728461792463,1.2467582739579306,1.297037959098816,55441800,0.0,0.0
2004-04-29,1.2970379785385318,1.2970379785385318,1.2618833008372874,1.269241213798523,32106600,0.0,0.0
2004-04-30,1.2700584065283398,1.2810952734094165,1.2528901223619955,1.257386565208435,21241800,0.0,0.0
2004-05-03,1.2565695980378289,1.27659935890138,1.2557521104800864,1.273329496383667,15726600,0.0,0.0
2004-05-04,1.2774165328002516,1.279868907158062,1.2586133587433044,1.2655621767044067,21333600,0.0,0.0
2004-05-05,1.265971178846455,1.265971178846455,1.2516636600178275,1.254934310913086,12641400,0.0,0.0
2004-05-06,1.2545256403703509,1.264335929820093,1.24471526320735,1.2590219974517822,11667600,0.0,0.0
2004-05-07,1.2549348653753345,1.2590221282415126,1.2377658702805732,1.23899245262146,17667000,0.0,0.0
2004-05-10,1.2283644682789043,1.250847406968473,1.2222331325022544,1.2344965934753418,21187800,0.0,0.0
2004-05-11,1.2344959378305596,1.2643359899520874,1.2344959378305596,1.2643359899520874,18851400,0.0,0.0
2004-05-12,1.264336051418359,1.2721030612473412,1.2320428331832751,1.2676066160202026,22847400,0.0,0.0
2004-05-13,1.2631101228570294,1.2831397961716768,1.2610660530928712,1.277825951576233,15442200,0.0,0.0
2004-05-14,1.2729203594673537,1.278234203842677,1.2643358632636479,1.2684239149093628,22662000,0.0,0.0
2004-05-17,1.254934745337435,1.2753728119787306,1.2488026236389689,1.2635184526443481,23326200,0.0,0.0
2004-05-18,1.2618836046273016,1.2712855015144235,1.245941192900205,1.2598395347595215,15856200,0.0,0.0
2004-05-19,1.2602486294155173,1.2810958790647045,1.2545256898946975,1.2598395347595215,18709200,0.0,0.0
2004-05-20,1.2598396939150491,1.2676067042848556,1.2479853327126893,1.2561607360839844,10929600,0.0,0.0
2004-05-21,1.2578017593149076,1.2602621418147595,1.2430378803219124,1.2508294582366943,14389200,0.005556,0.0
2004-05-24,1.2508290722237763,1.2713346587184478,1.2500090036433436,1.267643690109253,13685400,0.0,0.0
2004-05-25,1.261082129839366,1.2828182190013193,1.2553412087749716,1.2815877199172974,14725800,0.0,0.0
