Date,open,high,low,close,volume,dividends,stock_splits
2004-01-02,16.941576318053542,17.023456995932598,16.13836182166457,16.208545684814453,5453000,0.0,0.0
2004-01-05,16.208555015814923,16.376216397927628,15.284468935543442,15.857635498046875,7424000,0.0,0.0
2004-01-06,15.849832050342629,16.294328930666673,15.79134499245255,16.153961181640625,3970000,0.0,0.0
2004-01-07,16.18906360563474,16.208558808430553,15.615895421628283,16.103282928466797,3519800,0.0,0.0
2004-01-08,15.693861895387279,15.752348932188296,14.426655655387064,15.498907089233398,11858000,0.0,0.0
2004-01-09,15.654874448839832,16.005792272932826,15.61588258790456,15.693864822387695,4755200,0.0,0.0
2004-01-12,15.713364367235977,15.713364367235977,14.956939903947596,15.20648193359375,4011000,0.0,0.0
2004-01-13,15.264968290224363,15.29421033344686,14.522189157230118,15.066113471984863,5401733,0.0,1.5
2004-01-14,15.264977271940557,15.54571146377119,15.177246628490225,15.35855484008789,2970667,0.0,0.0
2004-01-15,15.65097677749983,15.662673593774565,15.235723438482838,15.563247680664062,2302933,0.0,0.0
2004-01-16,15.586642265319824,15.791345486957695,15.399485756553517,15.586642265319824,1969467,0.0,0.0
2004-01-20,15.908326249730322,15.908326249730322,15.294217758334671,15.627592086791992,2177867,0.0,0.0
2004-01-21,16.14226954641436,16.69789082516449,15.94341467566917,16.674495697021484,4592000,0.0,0.0
2004-01-22,17.10729630930138,17.10729630930138,16.153966753620253,16.721284866333008,3726000,0.0,0.0
2004-01-23,16.99031928328099,17.037108041299987,16.440546542547406,16.7037353515625,2650400,0.0,0.0
2004-01-26,17.048807978611052,17.048807978611052,16.3879108870316,16.84995460510254,3824000,0.0,0.0
2004-01-27,16.931831238665783,17.12483615576984,16.844102136542407,16.990318298339844,3320400,0.0,0.0
2004-01-28,17.301158320796382,17.301158320796382,16.17511641246815,16.274818420410156,5286800,0.06,0.0
2004-01-29,16.274815492998567,16.527002002139792,15.88187358419756,16.210302352905273,3604667,0.0,0.0
2004-01-30,16.251355203253212,16.568054841588253,16.186843556875495,16.480083465576172,2178133,0.0,0.0
2004-02-02,16.480078274044622,17.177988977237554,16.45075399411319,16.855424880981445,3573333,0.0,0.0
2004-02-03,17.066558921796037,17.353932706031266,17.04309919815656,17.125205993652344,2279467,0.0,0.0
2004-02-04,17.095893126687223,17.095893126687223,16.42144165530005,16.491819381713867,2981333,0.0,0.0
2004-02-05,16.491814913120045,16.896485984602553,16.186845842291348,16.802648544311523,2283600,0.0,0.0
2004-02-06,16.9199453184559,17.64131456447762,16.89648558606261,17.594396591186523,2495600,0.0,0.0
2004-02-09,17.594391364438167,17.934549179865364,17.447771436401183,17.653039932250977,2913200,0.0,0.0
2004-02-10,17.711686846477523,17.770335413753603,17.394988759372772,17.52401351928711,1556933,0.0,0.0
2004-02-11,17.524012247874627,18.180869591131888,17.34220349230351,17.916954040527344,3848667,0.0,0.0
2004-02-12,17.969737796966715,18.1691417318343,17.723417394829138,18.057710647583008,2187467,0.0,0.0
2004-02-13,18.12223213384718,18.327500738719166,17.799669314042387,17.85831642150879,1785733,0.0,0.0
2004-02-17,18.327491959919662,18.826000337827523,18.2101963096752,18.40373420715332,2997733,0.0,0.0
2004-02-18,18.1808708486518,18.18673540706055,17.81725331235916,18.057710647583008,2134933,0.0,0.0
2004-02-19,17.7410162159654,18.01079642148469,17.64131421961232,17.887636184692383,3059733,0.0,0.0
2004-02-20,17.858305803563596,17.858305803563596,17.5357416840487,17.682361602783203,1866533,0.0,0.0
2004-02-23,17.699956134350845,17.916953725621646,17.394987191589678,17.45363426208496,1769867,0.0,0.0
2004-02-24,17.49469323057765,17.82312200103163,17.44777526094004,17.60025978088379,1426133,0.0,0.0
2004-02-25,17.711693164341526,17.946286025631448,17.17213122401981,17.864177703857422,1952133,0.0,0.0
2004-02-26,17.60612757658484,18.180878403389965,17.5064270592173,18.151554107666016,2997333,0.0,0.0
2004-02-27,18.151551631860876,18.761491232042086,18.122227340136654,18.644195556640625,2112667,0.0,0.0
