Date,open,high,low,close,volume,dividends,stock_splits
2010-06-22,20985.80078125,20985.80078125,20985.80078125,20985.80078125,1019749,0,0
2010-06-23,21755.19921875,21755.19921875,20076.400390625,20146.30078125,1683628,0,0
2010-06-24,19936.5,20076.400390625,19167.0,19516.80078125,649741,0,0
2010-06-25,19516.80078125,20426.099609375,19236.900390625,20426.099609375,272399,0,0
2010-06-28,19586.69921875,21335.5,19586.69921875,20286.19921875,561652,0,0
2010-06-29,20636.0,20636.0,19936.5,19936.5,199921,0,0
2010-06-30,19236.900390625,19586.69921875,19236.900390625,19376.80078125,214245,0,0
2010-07-01,19586.69921875,19586.69921875,19236.900390625,19376.80078125,197706,0,0
2010-07-02,19027.099609375,19376.80078125,18887.19921875,19027.099609375,336285,0,0
2010-07-06,18887.19921875,18887.19921875,17907.80078125,17907.80078125,253501,0,0
2010-07-07,17907.80078125,18397.5,17208.30078125,17278.30078125,333026,0,0
2010-07-08,18047.69921875,18047.69921875,17348.19921875,17488.099609375,351882,0,0
2010-07-09,17907.80078125,18327.599609375,17488.099609375,18327.599609375,463672,0,0
2010-07-12,18327.599609375,19236.900390625,18327.599609375,19236.900390625,463943,0,0
2010-07-13,19866.5,20146.30078125,19446.80078125,20146.30078125,368707,0,0
2010-07-14,19936.5,20216.30078125,19446.80078125,19586.69921875,413538,0,0
2010-07-15,19027.099609375,19586.69921875,18677.30078125,18887.19921875,411079,0,0
2010-07-16,18887.19921875,19516.80078125,18747.30078125,18747.30078125,146599,0,0
2010-07-19,18887.19921875,19306.900390625,18537.400390625,18747.30078125,269769,0,0
2010-07-20,18677.30078125,18887.19921875,18537.400390625,18607.400390625,201894,0,0
2010-07-21,18607.400390625,18747.30078125,18187.69921875,18187.69921875,148830,0,0
2010-07-22,18187.69921875,18537.400390625,18047.69921875,18117.69921875,202695,0,0
2010-07-23,18957.099609375,18957.099609375,18887.19921875,18957.099609375,677645,0,0
2010-07-27,18957.099609375,19027.099609375,18537.400390625,18537.400390625,122455,0,0
2010-07-28,18537.400390625,18747.30078125,18187.69921875,18397.5,120868,0,0
2010-07-29,18747.30078125,18747.30078125,18047.69921875,18747.30078125,242207,0,0
2010-07-30,18187.69921875,18537.400390625,18047.69921875,18047.69921875,234974,0,0
2010-08-02,17837.900390625,18187.69921875,17837.900390625,17907.80078125,104471,0,0
2010-08-03,18047.69921875,18117.69921875,17488.099609375,17488.099609375,173689,0,0
2010-08-04,17488.099609375,17698.0,16998.5,17208.30078125,197491,0,0
2010-08-05,17767.900390625,17767.900390625,17068.400390625,17138.400390625,116894,0,0
2010-08-06,16648.69921875,17138.400390625,16648.69921875,16928.5,87931,0,0
2010-08-09,16858.599609375,16858.599609375,16089.099609375,16089.099609375,231714,0,0
2010-08-10,15389.599609375,15739.2998046875,15319.599609375,15319.599609375,637404,0,0
2010-08-11,15109.7001953125,15809.2998046875,14969.7998046875,15319.599609375,82542,0,0
2010-08-12,14969.7998046875,14969.7998046875,14620.099609375,14620.099609375,198592,0,0
2010-08-13,14340.2998046875,14829.900390625,13990.5,14829.900390625,210700,0,0
2010-08-16,15179.7001953125,15529.5,14969.7998046875,15529.5,321504,0,0
2010-08-17,14899.900390625,15529.5,14760.0,15179.7001953125,435824,0,0
