Date,open,high,low,close,volume,dividends,stock_splits
2004-01-02,15.497986350049533,15.703257692434295,15.268081882784019,15.272188186645508,1449000,0.0,0.0
2004-01-05,15.387143485367169,15.74021053314209,15.16134526549376,15.74021053314209,1672400,0.0,0.0
2004-01-06,15.637573118104346,15.68273307033637,15.461039613613494,15.641677856445312,1103000,0.0,0.0
2004-01-07,15.481563916815215,15.66220369633169,15.296819399626104,15.526723861694336,1130200,0.0,0.0
2004-01-08,15.69094675904127,15.846951899845228,15.321457602197071,15.444620132446289,883600,0.0,0.0
2004-01-09,15.120290724786807,15.617047092540387,15.120290724786807,15.292717933654785,1308400,0.0,0.0
2004-01-12,15.325558139021675,15.621147787145082,15.276291892587814,15.563672065734863,1014400,0.0,0.0
2004-01-13,15.555464615715428,15.649889260701444,15.190081817175006,15.399457931518555,978000,0.0,0.0
2004-01-14,15.440510587936346,15.85926431333419,15.39124590438838,15.711468696594238,1567000,0.0,0.0
2004-01-15,15.715576290230066,15.805896198227911,15.39535343983238,15.436407089233398,1183400,0.0,0.0
2004-01-16,15.50209711220155,15.805899506076196,15.448727670030372,15.764845848083496,871600,0.0,0.0
2004-01-20,15.764840318606721,15.916740679217055,15.682731465324121,15.826420783996582,850600,0.0,0.0
2004-01-21,15.76894413800554,16.13432686942908,15.748417317404583,16.113800048828125,1072800,0.0,0.0
2004-01-22,16.076851471123142,16.089167250514105,15.715573470059685,15.744311332702637,1403400,0.0,0.0
2004-01-23,15.707364001814788,15.920846407186652,15.670415093844731,15.814105987548828,779800,0.0,0.0
2004-01-26,15.723786354064941,15.830528341613924,15.653994841210501,15.723786354064941,1211000,0.0,0.0
2004-01-27,15.773058582179136,15.830535907766894,15.424097718929751,15.547260284423828,944200,0.0,0.0
2004-01-28,15.62525546307139,15.789471600652588,15.415877812578044,15.45693302154541,1091200,0.0,0.0
2004-01-29,15.493881889835254,15.719680057284139,15.395350954643261,15.596517562866211,819800,0.0,0.0
2004-01-30,15.62114835805576,15.625254661789965,15.305030312650343,15.35840129852295,741200,0.0,0.0
2004-02-02,15.33787934960837,15.70326219320154,15.300930434745213,15.514412879943848,1311400,0.0,0.0
2004-02-03,15.5554640081283,15.731997509801394,15.399457330024955,15.5595703125,946600,0.0,0.0
2004-02-04,15.55546226710627,15.621149034835325,15.12439275600335,15.288610458374023,1630400,0.0,0.0
2004-02-05,15.255768686802188,15.522622103529736,15.239346600767439,15.407669067382812,2057200,0.0,0.0
2004-02-06,15.834634558665112,16.421710846723176,15.731998865873091,16.380657196044922,2475400,0.0,0.0
2004-02-09,16.29854683362221,16.470974029970808,16.15485593723547,16.44634246826172,1166000,0.0,0.0
2004-02-10,16.101486081116665,16.83225162617545,15.842843727378254,16.68035125732422,2228600,0.0,0.0
2004-02-11,16.70908877204512,16.70908877204512,15.89621438630405,16.347810745239258,2489600,0.0,0.0
2004-02-12,16.29854602474232,16.44223534790166,16.150750397437754,16.31496810913086,884800,0.0,0.0
2004-02-13,16.294438453382533,16.442234069193066,16.01116456714304,16.13022232055664,1492400,0.0,0.0
2004-02-17,16.241070858843546,16.38476018698714,16.072748403262672,16.122013092041016,917600,0.0,0.0
2004-02-18,16.093280134112288,16.130229053487795,15.760739859732697,15.855164527893066,1307000,0.0,0.0
2004-02-19,15.941375594730786,15.970113461691609,15.604729101868019,15.62525749206543,1543200,0.0,0.0
2004-02-20,15.674520492553711,15.82642085383434,15.58009585899569,15.674520492553711,1148200,0.0,0.0
2004-02-23,15.617049230559877,15.764844896164004,15.399460471266435,15.502096176147461,1333200,0.0,0.0
2004-02-24,15.534937610744407,15.773051589659174,15.399457752494053,15.4979887008667,1418800,0.0,0.0
2004-02-25,15.65810775756836,15.760743494381048,15.469258377696304,15.65810775756836,813600,0.0,0.0
2004-02-26,15.686834808609087,15.764838917035863,15.497985559116005,15.727890014648438,707600,0.0,0.0
2004-02-27,15.71557675583792,15.871583447157231,15.526727457244029,15.797685623168945,1236800,0.0,0.0
2004-03-01,15.719683836688915,15.756632750507345,15.444619352463617,15.621152877807617,1206200,0.0,0.0
2004-03-02,15.580098487353409,16.080959603499924,15.55957166200334,15.785369873046875,2216000,0.0,0.0
2004-03-03,15.707361655808185,15.748416861918702,15.534934488431956,15.588305473327637,1028400,0.0,0.0
2004-03-04,15.547250996639615,15.71557343434988,15.399455379899663,15.711468696594238,1168400,0.0,0.0
2004-03-05,15.600625795983516,16.00706384132973,15.493885361198693,15.859268188476562,1324000,0.0,0.0
2004-03-08,15.851054276916408,15.92495208997259,15.428195786947486,15.571885108947754,1339400,0.0,0.0
2004-03-09,15.559572480841446,15.559572480841446,15.263981168736219,15.321456909179688,1282200,0.0,0.0
2004-03-10,15.317346990520376,15.354295892038653,14.816484451293944,14.816484451293945,2108600,0.0,0.0
2004-03-11,14.726173329755818,15.087451518920076,14.656381788741735,14.853442192077637,1886800,0.0,0.0
2004-03-12,14.86575193218958,15.177765285152658,14.820591981147853,15.083340644836426,1042600,0.0,0.0
2004-03-15,14.96838773687865,15.042285554439898,14.676902770996094,14.676902770996094,1140600,0.0,0.0
2004-03-16,14.779539936378967,15.046393367224372,14.771328892927189,14.898597717285156,1561200,0.0,0.0
2004-03-17,14.97660279815074,15.481570309585402,14.8821781317293,15.30914306640625,1448000,0.0,0.0
2004-03-18,15.296822981588383,15.358405023770379,15.157238376592726,15.190082550048828,1119800,0.0,0.0
2004-03-19,15.161344528397498,15.309140175266434,14.882175321222038,14.886280059814453,1090800,0.0,0.0
2004-03-22,15.025862051753894,15.395351104705261,14.984808408579788,15.038179397583008,1618800,0.0,0.0
2004-03-23,14.808275616192763,15.309138230030152,14.808275616192763,15.00123119354248,1236600,0.0,0.0
2004-03-24,14.984810100966452,15.23934616280468,14.869858634219437,15.149027824401855,1506600,0.0,0.0
2004-03-25,15.185979583278886,15.5185182647916,15.185979583278886,15.502096176147461,1197400,0.0,0.0
2004-03-26,15.506201606755177,15.80589766017232,15.444619560861366,15.670417785644531,1256400,0.0,0.0
2004-03-29,15.703257619576554,16.41349627300104,15.703257619576554,16.15074920654297,2060600,0.0,0.0
2004-03-30,16.126125976054258,16.245183802996703,15.994752362220185,16.216445922851562,1335200,0.0,0.0
2004-03-31,16.175386244254756,16.302653504428246,15.990641679055338,16.158964157104492,987200,0.0,0.0
2004-04-01,16.319076170093773,16.417607130391886,16.167175773809976,16.286231994628906,1319600,0.0,0.0
2004-04-02,16.458661031339705,16.766568133522842,16.3396032426324,16.631088256835938,1114000,0.0,0.0
2004-04-05,16.544871748273113,16.77066993713379,16.43813132728131,16.77066993713379,1275400,0.0,0.0
2004-04-06,16.606456693226775,16.963628493300877,16.561296734324984,16.938995361328125,1982800,0.0,0.0
2004-04-07,16.893831984979553,17.066259159634672,16.700876423354593,17.01699447631836,1517800,0.0,0.0
2004-04-08,16.910256472533867,17.140160992151444,16.910256472533867,17.07857894897461,1632400,0.0,0.0
2004-04-12,17.103210635340535,17.24279523080519,17.053945944616622,17.119632720947266,929800,0.0,0.0
2004-04-13,17.214057347886776,17.308481990892446,16.832252471418126,16.844568252563477,1218600,0.0,0.0
2004-04-14,16.84868119960874,16.975948497875955,16.499718790647883,16.676252365112305,1855200,0.0,0.0
2004-04-15,16.725508953797256,17.016993871698276,16.622873286978926,16.934885025024414,1383400,0.0,0.0
2004-04-16,16.873304805540617,17.11552506781628,16.832251160855044,16.92667579650879,1011200,0.0,0.0
2004-04-19,16.914365048230678,16.980051838926663,16.709093631543645,16.803518295288086,1069400,0.0,0.0
2004-04-20,16.873300797962898,17.205840878880615,16.803509305354368,16.86509132385254,1046400,0.0,0.0
2004-04-21,16.832256202147235,16.873309859128454,16.606457956557268,16.791202545166016,1174800,0.0,0.0
2004-04-22,16.684455810931315,17.025207018638056,16.577715393320926,16.951309204101562,1211200,0.0,0.0
2004-04-23,16.943097594727178,16.943097594727178,16.577714838468342,16.856884002685547,1043400,0.0,0.0
2004-04-26,16.76245871314509,16.82403917672558,16.71729876686176,16.799406051635742,227800,0.0,0.0
2004-04-27,16.877413533280894,17.283849998759706,16.860991446609972,16.98826026916504,1009400,0.0,0.0
2004-04-28,17.111424835591293,17.144267446768687,16.7008820162462,16.72140884399414,1195200,0.0,0.0
2004-04-29,16.81171627674986,17.041619082497082,16.45043842559584,16.581811904907227,1066200,0.0,0.0
