Date,open,high,low,close,volume,dividends,stock_splits
2014-07-21,14.170000076293945,14.170000076293945,14.170000076293945,14.170000076293945,0,0,0
2014-07-22,13.6899995803833,13.6899995803833,13.6899995803833,13.6899995803833,0,0,0
2014-07-23,13.890000343322754,13.890000343322754,13.890000343322754,13.890000343322754,0,0,0
2014-07-24,13.664999961853027,13.664999961853027,13.664999961853027,13.664999961853027,0,0,0
2014-07-25,13.765000343322754,13.765000343322754,13.765000343322754,13.765000343322754,0,0,0
2014-07-28,13.595000267028809,13.595000267028809,13.380000114440918,13.380000114440918,250,0,0
2014-07-29,13.425000190734863,13.425000190734863,13.425000190734863,13.425000190734863,0,0,0
2014-07-30,13.8149995803833,13.8149995803833,13.8149995803833,13.8149995803833,0,0,0
2014-07-31,13.614999771118164,13.614999771118164,13.369999885559082,13.369999885559082,300,0,0
2014-08-01,13.100000381469727,13.100000381469727,13.100000381469727,13.100000381469727,0,0,0
2014-08-04,12.489999771118164,12.489999771118164,12.489999771118164,12.489999771118164,0,0,0
2014-08-05,12.380000114440918,12.515000343322754,12.380000114440918,12.515000343322754,120,0,0
2014-08-06,12.255000114440918,12.255000114440918,12.255000114440918,12.255000114440918,0,0,0
2014-08-07,12.3100004196167,12.3100004196167,12.050000190734863,12.069999694824219,201,0,0
2014-08-08,11.604999542236328,11.604999542236328,11.604999542236328,11.604999542236328,0,0,0
2014-08-11,11.819999694824219,11.819999694824219,11.819999694824219,11.819999694824219,0,0,0
2014-08-12,12.4350004196167,12.529999732971191,12.4350004196167,12.529999732971191,160,0,0
2014-08-13,12.454999923706055,12.454999923706055,12.454999923706055,12.454999923706055,0,0,0
2014-08-14,12.725000381469727,12.765000343322754,12.725000381469727,12.765000343322754,320,0,0
2014-08-15,12.729999542236328,12.729999542236328,12.039999961853027,12.204999923706055,1090,0,0
2014-08-18,12.25,12.25,12.25,12.25,0,0,0
2014-08-19,12.1850004196167,12.1850004196167,12.1850004196167,12.1850004196167,0,0,0
2014-08-20,12.3100004196167,12.960000038146973,12.3100004196167,12.960000038146973,1025,0,0
2014-08-21,12.925000190734863,12.925000190734863,12.925000190734863,12.925000190734863,0,0,0
2014-08-22,13.225000381469727,13.225000381469727,13.225000381469727,13.225000381469727,0,0,0
2014-08-25,13.154999732971191,13.399999618530273,13.154999732971191,13.399999618530273,151,0,0
2014-08-26,13.545000076293945,13.545000076293945,13.510000228881836,13.510000228881836,52,0,0
2014-08-27,13.420000076293945,13.420000076293945,13.420000076293945,13.420000076293945,0,0,0
2014-08-28,13.265000343322754,13.265000343322754,12.920000076293945,12.920000076293945,1217,0,0
2014-08-29,12.96500015258789,12.96500015258789,12.96500015258789,12.96500015258789,0,0,0
2014-09-02,13.274999618530273,13.274999618530273,13.274999618530273,13.274999618530273,0,0,0
2014-09-03,13.765000343322754,13.765000343322754,13.765000343322754,13.765000343322754,0,0,0
2014-09-04,14.569999694824219,14.569999694824219,14.569999694824219,14.569999694824219,0,0,0
2014-09-05,14.25,14.25,14.25,14.25,0,0,0
2014-09-22,13.895000457763672,13.9350004196167,13.895000457763672,13.9350004196167,350,0,0
2014-09-23,13.9350004196167,13.9350004196167,13.9350004196167,13.9350004196167,0,0,0
2014-09-24,13.75,13.75,13.75,13.75,0,0,0
2014-09-25,13.65999984741211,13.65999984741211,13.65999984741211,13.65999984741211,0,0,0
2014-09-26,13.704999923706055,13.704999923706055,13.704999923706055,13.704999923706055,0,0,0
2014-10-10,11.635000228881836,11.635000228881836,11.199999809265137,11.199999809265137,15,0,0
2014-10-21,11.944999694824219,11.944999694824219,11.944999694824219,11.944999694824219,0,0,0
2014-10-22,12.755000114440918,12.755000114440918,12.755000114440918,12.755000114440918,0,0,0
2014-10-23,12.96500015258789,12.96500015258789,9.940999984741211,10.175000190734863,766,0,0
2014-10-24,10.170000076293945,10.170000076293945,9.579999923706055,9.579999923706055,1500,0,0
2014-10-27,10.229999542236328,10.229999542236328,10.085000038146973,10.085000038146973,350,0,0
2014-10-28,9.885000228881836,9.885000228881836,9.885000228881836,9.885000228881836,0,0,0
2014-10-29,9.982999801635742,9.996999740600586,9.982999801635742,9.996999740600586,400,0,0
2014-10-30,9.934000015258789,9.934000015258789,9.934000015258789,9.934000015258789,0,0,0
2014-10-31,10.175000190734863,10.265000343322754,10.175000190734863,10.265000343322754,200,0,0
2014-11-03,10.0,10.0,10.0,10.0,0,0,0
2014-11-04,10.109999656677246,10.109999656677246,10.109999656677246,10.109999656677246,0,0,0
2014-11-05,10.265000343322754,10.265000343322754,10.265000343322754,10.265000343322754,0,0,0
2014-11-06,13.029999732971191,13.029999732971191,13.029999732971191,13.029999732971191,50,0,0
2014-11-07,13.029999732971191,13.029999732971191,13.029999732971191,13.029999732971191,0,0,0
2014-11-10,13.029999732971191,13.029999732971191,13.029999732971191,13.029999732971191,0,0,0
2014-11-11,13.029999732971191,13.029999732971191,13.029999732971191,13.029999732971191,0,0,0
2014-11-12,13.779999732971191,13.979999542236328,13.779999732971191,13.979999542236328,1250,0,0
2014-11-13,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,0,0,0
2014-11-14,13.979999542236328,13.979999542236328,13.979999542236328,13.979999542236328,0,0,0
2014-11-17,13.979999542236328,13.979999542236328,13.979999542236328,13.979999542236328,0,0,0
2014-11-18,13.979999542236328,13.979999542236328,13.979999542236328,13.979999542236328,0,0,0
2014-11-19,13.979999542236328,13.979999542236328,13.979999542236328,13.979999542236328,0,0,0
2014-11-20,13.979999542236328,13.979999542236328,13.979999542236328,13.979999542236328,0,0,0
2014-11-21,13.979999542236328,13.979999542236328,13.979999542236328,13.979999542236328,0,0,0
2014-11-24,11.229999542236328,11.229999542236328,11.229999542236328,11.229999542236328,0,0,0
2014-11-25,11.109999656677246,11.229999542236328,11.109999656677246,11.229999542236328,250,0,0
2014-11-26,11.029999732971191,11.029999732971191,11.029999732971191,11.029999732971191,0,0,0
2014-11-28,10.904999732971191,10.904999732971191,10.904999732971191,10.904999732971191,0,0,0
2014-12-01,10.854999542236328,10.854999542236328,10.854999542236328,10.854999542236328,0,0,0
2014-12-02,10.8149995803833,10.8149995803833,10.8149995803833,10.8149995803833,0,0,0
2014-12-03,10.859999656677246,10.859999656677246,10.859999656677246,10.859999656677246,0,0,0
